               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              1.8175,              1.7829,              1.7488,             0.70086,             0.75229,             0.77814,             0.47877,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  41,              1.8015,              1.7629,              1.7432,             0.73513,             0.72453,             0.78243,               0.484,                   0,                   0,                   0,              0.0034,              0.0034,              0.0034
                  42,               1.799,              1.7572,              1.7345,             0.73831,             0.73454,              0.7706,              0.4737,                   0,                   0,                   0,            0.003235,            0.003235,            0.003235
                  43,              1.7749,              1.7275,              1.7252,             0.76337,             0.71619,             0.78377,             0.49262,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  44,              1.7738,              1.7111,                1.72,             0.73735,             0.75565,             0.80061,             0.50138,                   0,                   0,                   0,            0.002905,            0.002905,            0.002905
                  45,              1.6679,              1.4747,              1.7233,               0.761,              0.7611,             0.80557,             0.50468,                   0,                   0,                   0,             0.00274,             0.00274,             0.00274
                  46,              1.6442,              1.4188,              1.7003,             0.76208,             0.71121,             0.77268,             0.48128,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  47,              1.6148,              1.3951,              1.6895,             0.74935,             0.77438,             0.80045,             0.50252,                   0,                   0,                   0,             0.00241,             0.00241,             0.00241
                  48,              1.6062,              1.3593,              1.6856,             0.76164,             0.76092,             0.80492,             0.52546,                   0,                   0,                   0,            0.002245,            0.002245,            0.002245
                  49,              1.5975,              1.3553,              1.6765,             0.76831,             0.75926,             0.80982,             0.51836,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  50,              1.5725,              1.3023,              1.6577,             0.74209,             0.71626,             0.78806,             0.49754,                   0,                   0,                   0,            0.001915,            0.001915,            0.001915
                  51,              1.5623,              1.2859,              1.6685,              0.7668,              0.7533,             0.81838,             0.52412,                   0,                   0,                   0,             0.00175,             0.00175,             0.00175
                  52,              1.5656,              1.2783,              1.6533,             0.75732,             0.78194,             0.83015,             0.53718,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  53,              1.5285,              1.2408,              1.6398,             0.78681,             0.78289,             0.82756,             0.53546,                   0,                   0,                   0,             0.00142,             0.00142,             0.00142
                  54,              1.5141,              1.2027,              1.6221,             0.75542,             0.78157,             0.82967,             0.54959,                   0,                   0,                   0,            0.001255,            0.001255,            0.001255
                  55,              1.5054,              1.1929,               1.618,              0.7604,             0.74946,             0.81214,             0.51652,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  56,              1.4861,              1.1644,               1.608,             0.77958,             0.77775,              0.8355,             0.53873,                   0,                   0,                   0,            0.000925,            0.000925,            0.000925
                  57,              1.4521,              1.1362,              1.5792,             0.76271,             0.78148,             0.83753,             0.55463,                   0,                   0,                   0,             0.00076,             0.00076,             0.00076
                  58,              1.4504,              1.1305,              1.5783,             0.77959,             0.79165,             0.83548,             0.54686,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  59,              1.4463,               1.098,              1.5733,             0.79355,             0.78949,             0.84549,             0.55686,                   0,                   0,                   0,             0.00043,             0.00043,             0.00043
